location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,horsepower
Ben Arous,a month ago,250000,Rouge,55000,Avec kilométrage,2.0L,2016,Automatique,Mazda,6,Berline,Essence,9
Nabeul,a month ago,180000,Noir,44000,Nouveau,1.5L,2017,Manuelle,Ford,Fusion,Berline,Essence,9
Tunis,2 months ago,82000,Noir,69900,Avec kilométrage,1.7L,2018,Automatique,BMW,Serie 3,Berline,Essence,7
Mahdia,2 months ago,76,Gris,11111,Avec kilométrage,1.2L,2014,Manuelle,lancia,Ypsilon,Autres,Essence,4
Bizerte,7 hours ago,74000,Rouge,31000,Avec kilométrage,1.2L,2018,Manuelle,Peugeot,208,Berline,Essence,5
Gabès,7 hours ago,270000,Gris,30000,Avec kilométrage,>4.0L,2012,Automatique,Peugeot,508,Autres,Essence,7
La Manouba,7 hours ago,180000,Gris,56900,Nouveau,1.2L,2018,Automatique,Volkswagen,Golf,Berline,Essence,6
Nabeul,7 hours ago,298000,Autre,11500,,1.2L,1997,Manuelle,Renault,Clio,,Essence,
Ben Arous,7 hours ago,127000,Rouge,34500,Avec kilométrage,<1.0L,2017,Manuelle,Toyota,Yaris,Compacte,Essence,4
Gabès,7 hours ago,200,Blanc,13500,Avec kilométrage,1.2L,1994,Manuelle,Renault,Clio,Compacte,Essence,5
Ben Arous,7 hours ago,176,Rouge,25300,Avec kilométrage,1.2L,2012,Manuelle,Fiat,Panda,Compacte,Essence,4
Ariana,7 hours ago,63000,Autre,31000,Avec kilométrage,>4.0L,2018,Manuelle,Peugeot,107,Autres,Essence,4
Kairouan,7 hours ago,197000,Noir,17200,Avec kilométrage,1.2L,2003,Manuelle,Volkswagen,Polo,Compacte,Essence,4
Kébili,7 hours ago,218000,Noir,39000,Avec kilométrage,1.6L,2014,Automatique,Kia,Cerato,Autres,Essence,8
Kairouan,7 hours ago,71000,Blanc,41000,Nouveau,<1.0L,2019,Manuelle,Dacia,Sandero,Berline,Essence,4
Tunis,8 hours ago,196,Gris,23000,Avec kilométrage,1.6L,2006,Manuelle,Peugeot,307,Autres,Essence,6
Médenine,8 hours ago,157000,Gris,40000,Nouveau,1.2L,2018,Manuelle,Peugeot,2008,Autres,Essence,5
Bizerte,8 hours ago,120000,Blanc,23800,Nouveau,2.5L,2016,Manuelle,Mahindra,Scorpion,Autres,Diesel,8
Nabeul,8 hours ago,40413,Bleu,39000,Avec kilométrage,<1.0L,2021,Manuelle,Hyundai,I 10,Compacte,Essence,4
Monastir,8 hours ago,50000,Gris,35000,Nouveau,1.2L,2019,Manuelle,Peugeot,208,Compacte,Essence,4
Sidi Bouzid,8 hours ago,155000,Blanc,48000,Avec kilométrage,1.6L,2019,Manuelle,Peugeot,Partner,Berline,Diesel,12345
Ben Arous,8 hours ago,30000,Blanc,44900,Avec kilométrage,1.2L,2022,Manuelle,Peugeot,208,Compacte,Essence,4
Ben Arous,8 hours ago,62000,Blanc,23500,Avec kilométrage,<1.0L,2019,Manuelle,Chery,QQ,Compacte,Essence,4
Sfax,8 hours ago,151,Blanc,12345,Nouveau,1.6L,2018,Automatique,Ssangyong,Tivoli,Autres,Essence,8
Tunis,9 hours ago,300,Blanc,12500,Avec kilométrage,2.1L,1989,Manuelle,Peugeot,404,Pick up,Diesel,8
Ariana,9 hours ago,160000,Gris,111111,Avec kilométrage,1.6L,2021,Automatique,Nissan,Qashqai,Autres,Essence,6
Ben Arous,9 hours ago,300000,Gris,11800,Avec kilométrage,1.1L,2001,Manuelle,Citroen,Saxo,Compacte,Essence,4
Ariana,9 hours ago,162000,Gris,38700,Nouveau,1.2L,2014,Manuelle,Peugeot,2008,Monospace,Essence,5
Monastir,9 hours ago,159000,Noir,89900,Avec kilométrage,1.8L,2016,Automatique,BMW,X1,4 x 4,Essence,7
Tunis,9 hours ago,85,Blanc,37600,Avec kilométrage,1.2L,2020,Manuelle,Hyundai,I 10,Autres,Essence,5
Tunis,9 hours ago,93,Blanc,37600,Avec kilométrage,1.2L,2020,Manuelle,Hyundai,I 10,Autres,Essence,5
Nabeul,9 hours ago,43500,Autre,20845,Nouveau,2.0L,2020,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10
Nabeul,9 hours ago,43500,Autre,20845,Nouveau,2.0L,2020,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10
Nabeul,9 hours ago,7900,Noir,20845,Nouveau,1.6L,2021,Automatique,Kia,Sportage,4 x 4,Essence,11
Bizerte,9 hours ago,100.000,Blanc,47000,Nouveau,1.6L,2020,Manuelle,Peugeot,Partner,Autres,Diesel,5
Tunis,9 hours ago,53000,Rouge,42000,Avec kilométrage,<1.0L,2022,Manuelle,Hyundai,Grand i10,Compacte,Essence,4
Gabès,10 hours ago,200000,Gris,15000,Avec kilométrage,1.2L,2015,Automatique,Toyota,Auris,Berline,Essence,6
Ben Arous,10 hours ago,185000,Noir,30300,Avec kilométrage,1.2L,2012,Manuelle,Seat,Ibiza,Compacte,Essence,5
Tunis,10 hours ago,76000,Blanc,29800,Avec kilométrage,<1.0L,2018,Manuelle,Citroen,C1,Compacte,Essence,4
Sousse,10 hours ago,176000,Gris,67000,Avec kilométrage,2.2L,2012,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10
Tunis,10 hours ago,153000,Bleu,41000,Avec kilométrage,1.2L,2020,Automatique,Suzuki,Swift,Compacte,Essence,5
Ben Arous,10 hours ago,72000,Gris,62500,Avec kilométrage,1.2L,2022,Manuelle,Hyundai,I 20,Compacte,Essence,5
Nabeul,10 hours ago,300,Gris,32000,Avec kilométrage,1.6L,2016,Manuelle,Volkswagen,Caddy,Utilitaire,Diesel,6
Nabeul,11 hours ago,115000,Orange,46800,Avec kilométrage,1.5L,2017,Automatique,MG,HS,4 x 4,Essence,9
Monastir,11 hours ago,65000,Blanc,20440,,,2020,Manuelle,Chery,Tiggo,Autres,Essence,
Tataouine,11 hours ago,202000,Noir,52000,Avec kilométrage,1.5L,2017,Manuelle,Renault,Megane,Berline,Diesel,4
Tunis,11 hours ago,159000,Noir,31000,Nouveau,1.4L,2016,Manuelle,Renault,Symbol,Compacte,Essence,5
Sousse,11 hours ago,33000,Gris,30000,Avec kilométrage,>4.0L,2023,Manuelle,wallyscar,619,Utilitaire,Essence,5
Ariana,11 hours ago,44000,Gris,147999,Avec kilométrage,1.3L,2022,Automatique,Mercedes-Benz,Classe A,Autres,Hybride essence,6
Gafsa,11 hours ago,180,Doré,24000,RS,1.6L,2002,Manuelle,Peugeot,307,Compacte,Essence,8
Ariana,11 hours ago,49000,Blanc,42800,Avec kilométrage,<1.0L,2021,Manuelle,Hyundai,I 10,Utilitaire,Essence,4
Sousse,11 hours ago,125000,Noir,90000,Nouveau,1.6L,2019,Automatique,Mercedes-Benz,Classe A,Berline,Diesel,6
La Manouba,12 hours ago,177000,Blanc,31000,Avec kilométrage,1.5L,2020,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6
La Manouba,12 hours ago,218,Gris,19200,Avec kilométrage,1.2L,2006,Manuelle,Volkswagen,Polo,Compacte,Essence,5
Gabès,12 hours ago,47000,Blanc,33000,Avec kilométrage,1.4L,2018,Manuelle,Fiat,Doblo,Utilitaire,Diesel,6
Bizerte,12 hours ago,152000,Marron,26700,Avec kilométrage,1.2L,2011,Manuelle,Citroen,C3,Berline,Essence,4
Monastir,12 hours ago,146000,Gris,28000,Avec kilométrage,1.2L,2017,Manuelle,Hyundai,Grand i10,Compacte,Essence,5
Tunis,12 hours ago,150000,Noir,53100,Avec kilométrage,1.6L,2017,Automatique,Ssangyong,Tivoli,4 x 4,Essence,7
Tunis,12 hours ago,170000,Gris,29130,Avec kilométrage,2.0L,2021,Automatique,Toyota,RAV 4,4 x 4,Essence,9
Tunis,12 hours ago,60000,Noir,29130,Nouveau,2.0L,2021,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Hybride essence,12
Tunis,12 hours ago,40000,Blanc,29130,Nouveau,1.5L,2023,Automatique,Mercedes-Benz,Classe C,Berline,Essence,9
Tunis,12 hours ago,160000,Noir,15000,Avec kilométrage,1.6L,2005,Manuelle,Renault,Scenic,Monospace,Diesel,5
Ben Arous,12 hours ago,320000,Gris,16000,Avec kilométrage,1.2L,2004,Manuelle,Volkswagen,Polo,Autres,Essence,4
Bizerte,12 hours ago,85000,Rouge,36900,Avec kilométrage,1.2L,2018,Manuelle,Renault,Clio,Compacte,Essence,5
Sfax,12 hours ago,250.000,Gris,19999,Avec kilométrage,1.4L,2007,Manuelle,Peugeot,206,Berline,Essence,6
Nabeul,13 hours ago,29000,Marron,135000,Avec kilométrage,2.0L,2018,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Essence,12
Sousse,13 hours ago,160,Rouge,12700,Nouveau,1.4L,1997,Manuelle,Renault,Clio,Compacte,Essence,7
Tunis,13 hours ago,119373,Blanc,39000,Avec kilométrage,3.0L,2021,Manuelle,Renault,Symbol,Autres,Essence,5
Ariana,13 hours ago,190000,Blanc,34000,Avec kilométrage,1.4L,2020,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6
Tunis,13 hours ago,211000,Gris,47000,Nouveau,1.7L,2014,Automatique,Kia,Carens,4 x 4,Diesel,8
Sfax,13 hours ago,120000,Rouge,42000,Nouveau,1.5L,2021,Manuelle,Geely,GK-GL,Berline,Essence,100
Ben Arous,13 hours ago,46371,Noir,37000,Avec kilométrage,1.5L,2020,Manuelle,Geely,LC,Berline,Essence,6
Ben Arous,13 hours ago,70000,Argent,82000,Avec kilométrage,3.5L,2010,Automatique,Mercedes-Benz,Classe E,Autres,Essence,19
Ariana,13 hours ago,246000,Noir,41500,RS,2.0L,2008,Manuelle,Volvo,XC70,Berline,Diesel,8
Médenine,14 hours ago,381400.200000,Bleu,21000,Avec kilométrage,1.4L,2008,Manuelle,Peugeot,308 SW,Berline,Essence,6
Ben Arous,14 hours ago,88500,Blanc,50000,Avec kilométrage,1.3L,2021,Manuelle,Fiat,Doblo,Utilitaire,Diesel,5
Nabeul,14 hours ago,186000,Gris,52000,Avec kilométrage,<1.0L,2020,Automatique,Ford,ECOSPORT,Berline,Essence,6
Nabeul,14 hours ago,217000,Gris,21500,Avec kilométrage,1.2L,2010,Manuelle,Renault,Symbol,Berline,Essence,5
Ariana,14 hours ago,3000,Blanc,266000,Nouveau,3.0L,2024,Automatique,Isuzu,D-MAX,4 x 4,Diesel,8
Sousse,14 hours ago,3000,Bleu,17500,Avec kilométrage,1.2L,2002,Manuelle,Renault,Clio,Autres,Essence,0
Nabeul,14 hours ago,23000,Gris,120000,Avec kilométrage,3.0L,2017,Automatique,Kia,Sportage,4 x 4,Diesel,10
Ben Arous,14 hours ago,109000,Gris,89998,Avec kilométrage,1.6L,2021,Automatique,Kia,Sportage,Monospace,Diesel,7
Sousse,14 hours ago,105000,Blanc,39500,Avec kilométrage,1.6L,2020,Manuelle,Peugeot,Partner,Compacte,Diesel,6
Sousse,14 hours ago,115000,Bleu,55000,Nouveau,1.6L,2018,Automatique,Ssangyong,Korando,Berline,Essence,8
Sfax,14 hours ago,300,Gris,16800,Avec kilométrage,1.6L,2003,Manuelle,Renault,Laguna,Berline,Essence,7
Siliana,14 hours ago,320000,Blanc,14000,Avec kilométrage,1.5L,1996,Manuelle,Daewoo,Nexia,Berline,Essence,7
Tunis,14 hours ago,230000,Blanc,37000,Avec kilométrage,1.6L,2011,Automatique,Hyundai,Accent,Berline,Essence,7
Ben Arous,14 hours ago,127000,Rouge,33500,Avec kilométrage,<1.0L,2017,Manuelle,Toyota,Yaris,Compacte,Essence,4
Ariana,14 hours ago,54000,Blanc,128000,Avec kilométrage,1.5L,2021,Automatique,BMW,Serie 4,Berline,Essence,7
Nabeul,15 hours ago,380000,Bleu,13000,Non dédouanné,>4.0L,1990,Manuelle,Fiat,Palio,Compacte,Essence,5
Ariana,15 hours ago,143000,Marron,34900,Avec kilométrage,1.2L,2013,Manuelle,Renault,Clio,Compacte,Essence,5
La Manouba,15 hours ago,79900,Blanc,81500,Avec kilométrage,2.4L,2017,Automatique,Honda,CR-V,4 x 4,Essence,11
Ariana,15 hours ago,238000,Bleu,62500,Avec kilométrage,2.2L,2009,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,9
Ariana,15 hours ago,178000,Noir,36500,Avec kilométrage,1.6L,2010,Automatique,BMW,Serie 1,Compacte,Essence,7
Tunis,15 hours ago,53,Noir,195000,Nouveau,1.6L,2022,Automatique,Mercedes-Benz,Classe C,Compacte,Essence,9
Tunis,15 hours ago,155000,Blanc,34000,Avec kilométrage,1.4L,2010,Manuelle,Volkswagen,Polo,Compacte,Essence,5
Bizerte,15 hours ago,176000,Blanc,59000,Nouveau,2.5L,2020,Manuelle,Isuzu,D-MAX,Autres,Diesel,8
Siliana,15 hours ago,155000,Rouge,36500,Avec kilométrage,1.2L,2014,Manuelle,Kia,Rio,Compacte,Essence,5
Ariana,15 hours ago,233000,Gris,25500,Avec kilométrage,1.3L,2016,Manuelle,Fiat,Fiorino,Utilitaire,Diesel,5
Tunis,16 hours ago,209759,Camel,34000,Avec kilométrage,1.4L,2015,Manuelle,Volkswagen,Polo,Berline,Essence,5
Ariana,16 hours ago,226000,Gris,32900,Avec kilométrage,1.2L,2015,Manuelle,Seat,Ibiza,Compacte,Essence,5
Sousse,16 hours ago,65000,Noir,92000,Avec kilométrage,>4.0L,2022,Manuelle,Volkswagen,Golf 7,Autres,Essence,7
Monastir,16 hours ago,220,Blanc,26500,Nouveau,1.6L,2010,Manuelle,Citroen,Berlingo,Berline,Diesel,6
La Manouba,16 hours ago,274.000,Gris,51000,RS,3.0L,2008,Automatique,Mercedes-Benz,Classe C,Berline,Diesel,11
Gabès,16 hours ago,80000,Rouge,38000,Avec kilométrage,1.2L,2019,Manuelle,Hyundai,I 10,Berline,Essence,4
Ariana,16 hours ago,239000,Rouge,42900,Avec kilométrage,1.6L,2008,Manuelle,BMW,Serie 3,Berline,Essence,7
Sfax,16 hours ago,340000,Noir,19000,Nouveau,<1.0L,2006,Manuelle,Fiat,Palio,Compacte,Essence,4
Tunis,16 hours ago,100000,Noir,95000,Avec kilométrage,1.4L,2019,Automatique,Volkswagen,Passat CC,Berline,Essence,8
La Manouba,16 hours ago,90000,Gris,23000,Avec kilométrage,1.2L,2008,Manuelle,Citroen,C4,Utilitaire,Essence,6
Ariana,16 hours ago,45000,Noir,295000,Avec kilométrage,2.0L,2022,Automatique,Audi,Q5,4 x 4,Hybride essence,17
Ariana,16 hours ago,60000,Noir,89500,Avec kilométrage,1.2L,2020,Automatique,Audi,A3,Berline,Essence,6
Tunis,16 hours ago,73000,Autre,248000,Avec kilométrage,2.0L,2020,Automatique,BMW,X4,4 x 4,Essence,10
Tunis,16 hours ago,85000,Noir,184000,Avec kilométrage,1.5L,2021,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Hybride,8
Tunis,16 hours ago,90000,Beige,118000,Avec kilométrage,2.0L,2010,Automatique,Toyota,Prado,4 x 4,Diesel,11
Tunis,16 hours ago,40000,Noir,375000,Avec kilométrage,3.0L,2020,Automatique,Porsche,Cayenne,4 x 4,Essence,25
Tunis,16 hours ago,50000,Blanc,175000,Avec kilométrage,1.6L,2021,Automatique,Audi,Q3,4 x 4,Hybride,8
Tunis,16 hours ago,54000,Blanc,124000,Avec kilométrage,1.5L,2018,Automatique,Mercedes-Benz,Classe A,Berline,Essence,9
Tunis,16 hours ago,100000,Noir,220000,Avec kilométrage,2.0L,2016,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Essence,13
Ariana,16 hours ago,155000,Noir,58000,Avec kilométrage,1.4L,2018,Automatique,Volkswagen,Passat,Berline,Essence,7
Sousse,16 hours ago,250000,Rouge,12500,Avec kilométrage,1.4L,1997,Manuelle,Opel,Astra,Compacte,Diesel,7
Tunis,16 hours ago,70000,Orange,27000,Pièces manquantes,1.5L,2018,Manuelle,Haval,H6,Autres,Essence,6
Ariana,16 hours ago,158,Blanc,111141,Avec kilométrage,1.2L,2012,Manuelle,Volkswagen,Polo,Compacte,Essence,5
Bizerte,17 hours ago,74000,Rouge,31000,Avec kilométrage,1.2L,2018,Manuelle,Peugeot,208,Berline,Essence,5
Tunis,17 hours ago,111111,Marron,26500,Avec kilométrage,1.2L,2015,Manuelle,Peugeot,208,Compacte,Essence,5
Ben Arous,17 hours ago,350,Gris,22000,Avec kilométrage,1.4L,2010,Manuelle,Peugeot,207,Compacte,Diesel,4
Ben Arous,17 hours ago,250000,Jaune,13500,Nouveau,1.9L,2009,Manuelle,Volkswagen,Polo,Compacte,Diesel,8998
Tunis,17 hours ago,78000,Blanc,84000,Avec kilométrage,1.1L,2021,Manuelle,Volkswagen,Golf 8,Berline,Essence,6
Nabeul,17 hours ago,320,Noir,37000,Avec kilométrage,2.0L,2007,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,8
Tunis,17 hours ago,170,Rouge,31500,Avec kilométrage,1.4L,2010,Manuelle,mini,Cooper,Autres,Essence,4
Tunis,18 hours ago,78,Bleu,37800,Avec kilométrage,1.2L,2018,Automatique,Fiat,500,Autres,Essence,4
Ben Arous,18 hours ago,68000,Noir,89500,Avec kilométrage,1.1L,2021,Manuelle,Volkswagen,Golf 8,Berline,Essence,6
Tunis,18 hours ago,42500,Rouge,82000,Avec kilométrage,1.1L,2020,Manuelle,Volkswagen,Tiguan,4 x 4,Essence,6
Tunis,18 hours ago,69000,Blanc,79500,Avec kilométrage,1.1L,2020,Manuelle,Volkswagen,Touareg,4 x 4,Essence,6
Nabeul,18 hours ago,142000,Rouge,105000,Avec kilométrage,2.2L,2015,Automatique,Land Rover,Range Rover Evoque,4 x 4,Diesel,11
Ariana,18 hours ago,40000,Blanc,44000,Avec kilométrage,1.2L,2023,Automatique,Toyota,Aygo,Autres,Essence,5
Ben Arous,18 hours ago,171000,Noir,52000,Avec kilométrage,1.8L,2014,Manuelle,Audi,A3,Berline,Essence,10
Sousse,18 hours ago,160000,Blanc,57000,Avec kilométrage,1.4L,2018,Automatique,Skoda,Octavia,Berline,Essence,8
Monastir,18 hours ago,53000,Gris,86000,Nouveau,<1.0L,2022,Manuelle,Volkswagen,Golf,Compacte,Essence,5
Ben Arous,18 hours ago,39000,Blanc,47000,Avec kilométrage,1.1L,2023,Manuelle,Hyundai,I 10,Compacte,Essence,4
Sfax,18 hours ago,145,Blanc,40000,Avec kilométrage,1.2L,2017,Manuelle,Kia,Rio,Berline,Essence,5
Tunis,18 hours ago,65000,Gris,48000,Nouveau,1.6L,2019,Manuelle,Chery,Tiggo,4 x 4,Essence,8
Nabeul,19 hours ago,32000,Bleu,63000,Nouveau,<1.0L,2022,Automatique,Dacia,Sandero,Autres,Essence,6
Ariana,19 hours ago,92000,Rouge,99000,Nouveau,1.6L,2021,Manuelle,Kia,Sportage,4 x 4,Diesel,7
Médenine,a day ago,120,Blanc,53000,Avec kilométrage,<1.0L,2020,Manuelle,Renault,Clio,Berline,Essence,5
Nabeul,a day ago,160000,Autre,39000,Avec kilométrage,1.5L,2017,Manuelle,Toyota,Yaris,Compacte,Essence,4
